,price,area,latitude,longitude,Bedrooms,Bathrooms,Balcony,parking,Lift,Price_sqft
0,5600000,1350,28.60885,77.46056,3,3,,,2,4148.148148
1,8800000,1490,28.37423557,76.95241631,3,3,,,2,5906.040268
2,16500000,2385,28.645769,77.38511,4,5,,1,,6918.238994
3,3810000,1050,28.566914,77.436434,2,2,3,1,2,3628.571429
4,6200000,1350,28.520732,77.356491,2,2,3,1,3,4592.592593
5,3700000,1150,28.62804,77.437809,2,2,3,,,3217.391304
6,3270000,890,28.610645,77.455837,2,2,3,1,2,3674.157303
7,3990000,850,28.471233,76.969597,2,2,1,1,,4694.117647
8,3500000,960,28.5814311,77.4528192,2,2,2,,,3645.833333
9,5500000,1400,28.614181,77.427713,3,3,4,1,2,3928.571429
10,7300000,850,28.72407532,77.09558105,3,2,1,2,1,8588.235294
11,7700000,1250,28.436305,77.13605,2,2,2,,,6160
12,10500000,1615,28.51313972,77.0259552,3,3,3,,,6501.547988
13,7200000,1200,28.50746138,77.40781667,2,2,3,,,6000
14,7000000,1690,28.679009,77.34929514,3,3,,,,4142.011834
15,9500000,1000,28.72143555,77.10701752,3,2,1,2,1,9500
16,15000000,1450,28.72721291,77.09606171,4,3,1,2,1,10344.82759
17,4800000,1175,28.61607805,77.42810225,2,2,,,,4085.106383
18,5100000,1087,28.64431,77.33178711,2,2,2,1,2,4691.812328
19,14000000,1845,28.54692971,77.35438729,3,3,3,2,2,7588.075881
20,6250000,1400,28.449384,76.98441,2,2,2,,,4464.285714
21,8700000,1600,28.423049,77.08741,3,2,1,,,5437.5
22,13000000,1950,28.56973716,77.33241167,3,3,2,,,6666.666667
23,15000000,1800,28.529146,77.355843,2,3,1,,,8333.333333
24,5500000,1440,28.58749935,77.44316979,3,2,5,1,2,3819.444444
25,4200000,1040,28.616204,77.422256,2,2,3,2,3,4038.461538
26,3900000,1025,28.57223,77.474898,2,2,3,1,2,3804.878049
27,10000000,1836,28.6571606,77.355748,3,2,,,,5446.623094
28,7600000,1350,28.645769,77.38511,3,2,4,1,3,5629.62963
29,3900000,800,28.387731,76.96791987,2,2,1,,2,4875
30,9000000,1481,28.49744987,77.02709198,2,2,2,2,2,6076.975017
31,8350000,1398,28.54341218,77.367853,2,2,2,1,3,5972.818312
32,13500000,2150,28.43520877,77.09022523,3,3,4,1,,6279.069767
33,5310000,1100,28.6467392,77.3709475,3,2,,,,4827.272727
34,15000000,1960,28.3907304,77.05782257,3,3,,,,7653.061224
35,17500000,2450,28.482277,76.99199526,3,3,3,2,2,7142.857143
36,5000000,1000,28.5604873,77.384084,2,2,3,1,2,5000
37,3500000,850,28.55985069,77.24765015,2,2,1,,,4117.647059
38,4550000,950,28.50809,77.2314673,3,2,1,1,1,4789.473684
39,4000000,700,28.558586,77.2511855,2,2,,,,5714.285714
40,3500000,750,28.68956947,77.33861542,2,2,2,,0,4666.666667
41,3500000,950,28.5905383,77.35981,2,2,1,1,1,3684.210526
42,2400000,540,28.5922718,77.0836792,2,2,1,,0,4444.444444
43,80000000,5571,28.424904,77.03476,5,5,3,4,2,14360.07898
44,9500000,1200,28.652429,77.1643181,2,2,2,,,7916.666667
45,10500000,1020,28.3978564,77.07393158,2,2,2,,,10294.11765
46,7500000,1505,28.512136,76.986899,2,2,2,1,2,4983.388704
47,4800000,1232,28.65280724,77.4509201,6,3,2,,,3896.103896
48,5600000,929,28.436305,77.13605,2,2,1,,,6027.987083
49,8500000,1350,28.647938,77.340697,3,3,,,,6296.296296
50,4700000,1085,28.646509,77.38148828,2,2,2,,,4331.797235
51,8500000,1790,28.512136,76.986899,3,3,,,,4748.603352
52,10000000,1689,28.487018,76.998009,3,3,4,1,3,5920.663114
53,18000000,2411,28.391644,77.06486457,3,3,3,2,2,7465.781833
54,12400000,1650,28.6016823,77.03193279,3,2,2,2,0,7515.151515
55,7700000,1685,28.50920801,77.40662554,3,4,4,1,2,4569.732938
56,6000000,1050,28.648794,77.34253225,2,2,2,,,5714.285714
57,12500000,1300,28.59344,77.065951,2,2,2,2,2,9615.384615
58,6380000,1170,28.49589348,77.18599701,3,2,1,1,1,5452.991453
59,7400000,1275,28.28709602,77.06906128,2,2,2,1,2,5803.921569
60,8400000,1890,28.410466,76.962531,3,3,4,1,2,4444.444444
61,6400000,1455,28.570142,77.386273,3,2,3,1,2,4398.62543
62,19000000,1768,28.59343183,77.04427276,3,2,,2,2,10746.60633
63,4300000,1295,28.566914,77.436434,2,2,4,2,,3320.46332
64,23800000,3500,28.4818021,77.2200217,4,5,3,1,2,6800
65,10500000,1850,28.548787,77.346032,3,4,2,2,3,5675.675676
66,10800000,1966,28.247592,77.069185,2,2,1,1,,5493.387589
67,5500000,1350,28.6493479,77.3696259,2,2,,,,4074.074074
